Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-12-11,Inter,Milan,3,2,H,1,1,D,16.0,7.0,5.0,3.0,20.0,19.0,5.0,3.0,2,3,0,0
2005-12-11,Juventus,Cagliari,4,0,H,2,0,H,15.0,8.0,9.0,3.0,22.0,10.0,7.0,3.0,0,3,0,0
2005-12-11,Livorno,Lazio,2,1,H,0,0,D,9.0,13.0,5.0,7.0,23.0,15.0,2.0,7.0,1,0,0,0
2005-12-11,Messina,Chievo,2,0,H,2,0,H,,,,,,,,,1,1,0,1
2005-12-11,Parma,Sampdoria,1,1,D,1,0,H,9.0,7.0,4.0,4.0,27.0,25.0,3.0,7.0,4,4,0,0
2005-12-11,Roma,Palermo,1,2,A,1,1,D,6.0,6.0,3.0,2.0,10.0,16.0,2.0,8.0,1,3,0,0
2005-12-11,Udinese,Lecce,1,2,A,0,1,A,8.0,8.0,2.0,5.0,20.0,21.0,8.0,4.0,2,3,0,0
2005-12-17,Lazio,Juventus,1,1,D,1,1,D,,,,,20.0,30.0,3.0,7.0,2,3,0,0
2005-12-17,Treviso,Lecce,2,1,H,1,0,H,,,,,20.0,26.0,2.0,3.0,4,4,0,1
2005-12-18,Cagliari,Ascoli,2,1,H,2,0,H,4.0,12.0,3.0,6.0,22.0,23.0,4.0,7.0,2,4,0,0
2005-12-18,Chievo,Udinese,2,0,H,1,0,H,10.0,9.0,4.0,3.0,25.0,16.0,7.0,3.0,2,3,0,1
2005-12-18,Empoli,Fiorentina,1,1,D,0,0,D,6.0,19.0,2.0,6.0,19.0,20.0,2.0,7.0,3,1,0,0
2005-12-18,Milan,Messina,4,0,H,1,0,H,17.0,10.0,8.0,4.0,12.0,16.0,11.0,5.0,1,0,0,0
2005-12-18,Palermo,Livorno,0,2,A,0,0,D,9.0,10.0,4.0,5.0,12.0,21.0,8.0,1.0,2,2,1,0
2005-12-18,Reggina,Inter,0,4,A,0,3,A,10.0,20.0,5.0,10.0,10.0,19.0,6.0,7.0,2,3,0,0
2005-12-18,Sampdoria,Roma,1,1,D,0,1,A,9.0,11.0,4.0,6.0,20.0,21.0,3.0,4.0,3,2,0,0
2005-12-18,Siena,Parma,2,2,D,0,0,D,8.0,3.0,4.0,2.0,16.0,19.0,5.0,2.0,3,1,0,0
2005-12-21,Ascoli,Treviso,1,0,H,1,0,H,7.0,5.0,3.0,1.0,19.0,14.0,6.0,3.0,3,2,1,1
2005-12-21,Fiorentina,Palermo,1,0,H,1,0,H,10.0,10.0,3.0,6.0,20.0,24.0,1.0,7.0,2,1,0,0
2005-12-21,Inter,Empoli,4,1,H,2,0,H,17.0,6.0,9.0,4.0,18.0,17.0,9.0,2.0,0,1,0,0
2005-12-21,Juventus,Siena,2,0,H,1,0,H,10.0,6.0,6.0,5.0,31.0,28.0,8.0,2.0,2,1,0,0
